qi,uf,u_new,P
17.199741771213024,15.901327825359772,16.79106797112706,149.96533268294763
16.79106797112706,15.463952894935346,17.19511866751093,149.9663074212038
17.19511866751093,15.89564611386387,16.798948835005532,149.96688948522527
16.798948835005532,15.471895208079866,17.18914407833867,149.96764199889012
17.18914407833867,15.888599667583737,16.811923942075406,149.9692001674605
16.811923942075406,15.485358243573144,17.184415788391952,149.97018763156925
17.184415788391952,15.882962314267026,16.81910642255301,149.9707723793607
16.81910642255301,15.492654594677125,17.178475683596872,149.971522234733
17.178475683596872,15.876093500358525,16.83062567004345,149.97307235065455
16.83062567004345,15.504640534737515,17.173771761924908,149.97407270304188
17.173771761924908,15.870605577196757,16.837063497992663,149.97466002287788
16.837063497992663,15.5112192360438,17.16794395649562,149.975406603157
17.16794395649562,15.863967559720214,16.84737433566006,149.9769487603107
16.84737433566006,15.521976523002566,17.16335935408698,149.97796203510725
17.16335935408698,15.858704371665645,16.853095228879834,149.9785517533874
16.853095228879834,15.527849615956317,17.15769933233072,149.97929444102624
17.15769933233072,15.852332912887192,16.86239423300804,149.98082851885468
16.86239423300804,15.537574977994884,17.153301967596573,149.98185470051578
17.153301967596573,15.847346452740632,16.867454996545646,149.98244662232452
16.867454996545646,15.54278939161924,17.14784751946409,149.9831848599105
17.14784751946409,15.84126341034961,16.898457581784676,150.07592198586843
16.898457581784676,15.574317998568194,17.196428347684122,150.25485485646917
17.196428347684122,15.890211109548657,16.92001100384603,150.25729295513452
16.92001100384603,15.597421489373763,17.178726992118268,150.2579982465032
17.178726992118268,15.870885839034422,16.907901042151636,150.2585248515095
16.907901042151636,15.583931668281526,17.174626852505277,150.25954591626217
17.174626852505277,15.866337931302468,16.924774136088022,150.26188338425487
16.924774136088022,15.60175659379399,17.16210521781842,150.26259367804224
17.16210521781842,15.852765709447276,16.919233226602948,150.26312619777443
16.919233226602948,15.595372969617975,17.15865829266155,150.2641463421162
17.15865829266155,15.848975714821554,16.93277836068066,150.26638401825616
16.93277836068066,15.609633602191343,17.14941994134038,150.26709852681873
17.14941994134038,15.838950917573657,16.93041613029765,150.2676364834702
16.93041613029765,15.606751050686766,17.14643966729679,150.2686549973097
17.14643966729679,15.835660685141157,16.941615497535302,150.27079853481544
16.941615497535302,15.61852520846476,17.139374336699827,150.27151763601194
17.139374336699827,15.82797265548385,16.94085993839507,150.2720607253074
16.94085993839507,15.617439315996343,17.136737983739234,150.27307755336852
17.136737983739234,15.82505008212982,16.950354136594935,150.2751358519141
16.950354136594935,15.627417375146678,17.13112442775657,150.27586009301905
17.13112442775657,15.818927142339335,16.950411509758222,150.2764081056446
16.950411509758222,15.627258381392457,17.12874828034601,150.27742327166837
17.12874828034601,15.816287498125735,16.958625699480113,150.27940672155816
16.958625699480113,15.635891641429586,17.124124924770506,150.28013664386972
17.124124924770506,15.811236979805726,16.95907732608156,150.28068944277638
16.95907732608156,15.636197283768084,17.121955510511853,150.28170283953477
17.121955510511853,15.808826661325844,16.966304230311472,150.28362158344183
16.966304230311472,15.643795554407246,17.118027436659965,150.28435761324397
17.118027436659965,15.804533544928544,16.96692221549049,150.28491508879478
16.96692221549049,15.644311367492675,17.116031640178743,150.28592636638942
17.116031640178743,15.802318721145163,16.973369024837066,150.2877892627462
16.973369024837066,15.651092446514351,17.11261057965444,150.28853164713732
17.11261057965444,15.798580944652583,16.974028008977985,150.2890936946425
16.974028008977985,15.65167664358641,17.110767795659523,150.29010225020974
17.110767795659523,15.796539791724122,16.979844991874973,150.2919164901207
16.979844991874973,15.6577981038461,17.10773260024636,150.2926652873215
17.10773260024636,15.79322651445211,16.980476430025547,150.29323179592828
16.980476430025547,15.658371620182631,17.106029454050898,150.29423685472293
17.106029454050898,15.791344100540773,16.9857749799455,150.2960080677879
16.9857749799455,15.663949892497941,17.103301186290025,150.29676318530653
